"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0.8,0.48,0.005,0.975,0.0201938610662359,0.1,0.04429627,0.00041084,0.0993789,0.00014968,7.1e-07,0.00047191,5.3e-07,0.05561405,0.0001717,1e-07,0.33693669,0.00041354,0.09742117,0.00014455,0.0004331,0.00045567,3.02e-06,0.36337144,0.00017026,0.0001559,0.499999999999999,0
0.5,0.5,0.9,0.44,0.005,0.975,0.0094553706505295,0.1,0.02386469,2.75e-06,0.05000303,1.62e-06,0,2.98e-06,0,0.02612905,1.76e-06,0,0.41891155,3.6e-06,0.06392488,2.04e-06,3.66e-06,3.75e-06,3e-08,0.4171402,2.29e-06,2.15e-06,0.499999999999998,0
0.5,0.5,0,0.8,0.005,0.95,0.1,0.1,0.24873838,0.001087,0.49819009,0.00106469,1.19e-06,0.00108868,2.33e-06,0.24876313,0.00106339,1.14e-06,0,0,0,0,0,0,0,0,0,0,0.5,0
0.5,0.5,0.1,0.76,0.005,0.95,0.0951776649746193,0.1,0.2242946,0.00030999,0.44975118,0.00024178,1.1e-07,0.00031102,1.7e-07,0.22485068,0.00024192,7e-08,0.03889148,1.801e-05,0.02465719,1.312e-05,1.737e-05,1.688e-05,1.5e-07,0.03635867,1.275e-05,1.286e-05,0.499999999999999,0
0.5,0.5,0.2,0.72,0.005,0.95,0.088261253309797,0.1,0.19900692,0.00028242,0.39981585,0.00016266,1e-07,0.0002842,1.2e-07,0.20029057,0.00016325,3e-08,0.07816199,3.603e-05,0.04828584,1.945e-05,3.487e-05,3.398e-05,2.7e-07,0.07338328,1.906e-05,1.912e-05,0.500000000000001,0
0.5,0.5,0.3,0.68,0.005,0.95,0.0793291024478695,0.1,0.17320773,0.00078495,0.34911074,0.00033398,8.9e-07,0.00079364,7.6e-07,0.17547506,0.0003368,1.6e-07,0.11788697,0.00016554,0.07000191,6.627e-05,0.00016094,0.00015746,1.12e-06,0.11138384,6.577e-05,6.546e-05,0.500000000000001,0
0.5,0.5,0.4,0.64,0.005,0.95,0.0686813186813187,0.1,0.13763298,0.00828497,0.28916449,0.00271362,0.0001228,0.00875536,8.095e-05,0.1515213,0.00286074,1.33e-05,0.15145195,0.0025776,0.08593064,0.00079741,0.00256664,0.00257261,1.693e-05,0.15129254,0.00083529,0.00080788,0.5,0
0.5,0.5,0.5,0.6,0.005,0.95,0.0568181818181818,0.1,0.10902838,0.00693537,0.24086027,0.00204604,0.00010672,0.00772639,6.352e-05,0.13272172,0.00227428,9.43e-06,0.18690965,0.003007,0.10019823,0.00084118,0.0030815,0.00317618,2.019e-05,0.19917763,0.00093722,0.00087911,0.5,0
0.5,0.5,0.6,0.56,0.005,0.95,0.0443655723158829,0.1,0.091621,0.00196873,0.19760087,0.00054866,9.92e-06,0.00214789,5.59e-06,0.10630759,0.00059737,7.9e-07,0.23760921,0.00115063,0.11137584,0.00030543,0.00116931,0.00119553,7.54e-06,0.24572432,0.00033656,0.00031722,0.5,0
0.5,0.5,0.7,0.52,0.005,0.95,0.0319693094629156,0.1,0.07297204,1.308e-05,0.15004252,4.03e-06,0,1.367e-05,0,0.07695929,4.2e-06,0,0.29740574,1.009e-05,0.11221212,2.98e-06,1.006e-05,1.009e-05,7e-08,0.29033384,3.16e-06,3.04e-06,0.500000000000001,0
