"hf","hm","C","dStar","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.5,0.5,0,0.8,0,1.5,0.113,0.113,0.833334,0.166657,1e-06,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.166666666666667
0.5,0.5,0.05,0.78,0,1.5,0.110583802125558,0.113,0.808009,0.157758,1e-06,9e-06,0,0,0,0,0,0,0.034223,0,0,0,0,0,0,0,0,0,0.499999999999999,0.162095639943741
0.5,0.5,0.1,0.76,0,1.5,0.107586259425699,0.113,0.7809,0.148865,1e-06,9e-06,0,0,0,0,0,0,0.070225,0,0,0,0,0,0,0,0,0,0.499999999999999,0.15727002967359
0.5,0.5,0.15,0.74,0,1.5,0.103996024222791,0.113,0.75198,0.140018,1e-06,9e-06,0,0,0,0,0,0,0.107992,0,0,0,0,0,0,0,0,0,0.500000000000001,0.152190923317684
0.5,0.5,0.2,0.72,0,1.5,0.0998153857025502,0.113,0.72124,0.131256,1e-06,1e-05,0,0,0,0,0,0,0.147493,0,0,0,0,0,0,0,0,0,0.5,0.146864686468647
0.5,0.5,0.25,0.7,0,1.5,0.0950618322537226,0.113,0.688681,0.122629,0,1e-05,0,0,0,0,0,0,0.188681,0,0,0,0,0,0,0,0,0,0.500000000000001,0.141304347826087
0.5,0.5,0.3,0.68,0,1.5,0.0897688480534573,0.113,0.654322,0.114185,0,1.1e-05,0,0,0,0,0,0,0.231483,0,0,0,0,0,0,0,0,0,0.500000000000002,0.135531135531135
0.5,0.5,0.35,0.66,0,1.5,0.0839857618692063,0.113,0.618204,0.105976,0,1.1e-05,0,0,0,0,0,0,0.275809,0,0,0,0,0,0,0,0,0,0.5,0.129576107899807
0.5,0.5,0.4,0.64,0,1.5,0.0777765541545069,0.113,0.580386,0.098057,0,1.2e-05,0,0,0,0,0,0,0.321545,0,0,0,0,0,0,0,0,0,0.5,0.123481781376518
0.5,0.5,0.45,0.62,0,1.5,0.071217644099707,0.113,0.54095,0.090483,0,1.4e-05,0,0,0,0,0,0,0.368553,0,0,0,0,0,0,0,0,0,0.500000000000002,0.117303609341826
0.5,0.5,0.5,0.6,0,1.5,0.0643948028265329,0.113,0.5,0.083315,0,1.5e-05,0,0,0,0,0,0,0.41667,0,0,0,0,0,0,0,0,0,0.499999999999999,0.111111111111111
0.5,0.5,0.55,0.58,0,1.5,0.0573994493716538,0.113,0.457663,0.07661,0,1.7e-05,0,0,0,0,0,0,0.46571,0,0,0,0,0,0,0,0,0,0.499999999999999,0.104988399071926
0.5,0.5,0.6,0.56,0,1.5,0.0503246608652279,0.113,0.414087,0.070423,1e-06,1.9e-05,0,0,0,0,0,0,0.515468,0,1e-06,0,0,0,0,1e-06,0,0,0.499999999999998,0.0990338164251207
0.5,0.5,0.65,0.54,0,1.5,0.0432612531215373,0.113,0.369449,0.064811,1e-06,2.3e-05,0,0,0,0,0,0,0.565714,0,1e-06,0,0,0,0,1e-06,0,0,0.5,0.093358395989975
0.5,0.5,0.7,0.52,0,1.5,0.0362942597255768,0.113,0.32394,0.059827,1e-06,2.7e-05,0,0,0,0,0,0,0.616203,0,1e-06,0,0,0,0,1e-06,0,0,0.500000000000003,0.0880829015544042
0.5,0.5,0.75,0.5,0,1.5,0.0295000652656311,0.113,0.277774,0.055517,1e-06,3.3e-05,0,0,0,0,0,0,0.666673,0,1e-06,0,0,0,0,1e-06,0,0,0.500000000000001,0.0833333333333333
0.5,0.5,0.8,0.48,0,1.5,0.0229443487865891,0.113,0.231178,0.051922,1e-06,4.3e-05,0,0,0,0,0,0,0.716853,0,1e-06,0,0,0,0,2e-06,0,0,0.499999999999997,0.0792349726775957
0.5,0.5,0.85,0.46,0,1.5,0.0166808872460593,0.113,0.184394,0.049076,1e-06,6e-05,0,0,0,0,0,0,0.766465,0,1e-06,0,0,0,0,3e-06,0,0,0.500000000000001,0.0759052924791086
0.5,0.5,0.9,0.44,0,1.5,0.0107511740662653,0.113,0.137673,0.047,1e-06,9.3e-05,0,0,0,0,0,0,0.815228,0,1e-06,0,0,0,0,4e-06,0,0,0.499999999999999,0.0734463276836157
0.5,0.5,0,0.8,0,1.1,0.113,0.113,0.954554,0.045437,1e-06,8e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.5,0.5,0.05,0.78,0,1.1,0.110583802125558,0.113,0.912021,0.042189,1e-06,9e-06,0,0,0,0,0,0,0.04578,0,0,0,0,0,0,0,0,0,0.499999999999999,0.0437713634637296
0.5,0.5,0.1,0.76,0,1.1,0.107586259425699,0.113,0.868739,0.039066,1e-06,9e-06,0,0,0,0,0,0,0.092185,0,0,0,0,0,0,0,0,0,0.499999999999999,0.04203013481364
0.5,0.5,0.15,0.74,0,1.1,0.103996024222791,0.113,0.824742,0.036072,1e-06,9e-06,0,0,0,0,0,0,0.139176,0,0,0,0,0,0,0,0,0,0.500000000000001,0.040235829540753
0.5,0.5,0.2,0.72,0,1.1,0.0998153857025502,0.113,0.780067,0.033212,0,1e-05,0,0,0,0,0,0,0.186711,0,0,0,0,0,0,0,0,0,0.5,0.0383951682484902
