"hf","hm","C","delta","r","k","sf","sm","F.11","F.12","F.13","F.14","F.22","F.23","F.24","F.33","F.34","F.44","G.11","G.12","G.13","G.14","G.22","G.23","G.24","G.33","G.34","G.44","qHat","ZHat"
0.25,0.25,0,0.8,0,1.1,0.4,0.4,0,1.62e-06,1.59e-06,0,0.21921423,0.54713088,0,0.23365169,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0454545454545455
0.25,0.25,0.025,0.79,0,1.1,0.395738203957382,0.4,0,1.6e-06,1.57e-06,0,0.21490434,0.53895503,0,0.23148695,0,0,2e-08,2e-08,2e-08,0,0.00284146,0.0056829,0,0.0061261,0,0,0.497322111706197,0.0446204589798384
0.25,0.25,0.05,0.78,0,1.1,0.390946502057613,0.4,0,1.73e-06,1.71e-06,0,0.21042935,0.53056618,0,0.22932991,0,0,4e-08,4e-08,4e-08,0,0.00573303,0.01146601,0,0.01247195,0,0,0.494276795005203,0.0437713634637296
0.25,0.25,0.075,0.77,0,1.1,0.385617509119333,0.4,0,1.67e-06,1.66e-06,0,0.20578827,0.52195673,0,0.22717594,0,0,6e-08,6e-08,6e-08,0,0.0086727,0.01734534,0,0.0190575,0,0,0.490846378349695,0.0429077326089065
0.25,0.25,0.1,0.76,0,1.1,0.379746835443038,0.4,0,1.65e-06,1.65e-06,0,0.20098055,0.51311847,0,0.22501949,0,0,8e-08,9e-08,8e-08,0,0.01165796,0.02331583,0,0.02590416,0,0,0.487012987012987,0.04203013481364
0.25,0.25,0.125,0.75,0,1.1,0.373333333333333,0.4,0,1.7e-06,1.72e-06,0,0.19600649,0.50404363,0,0.22285443,0,0,1.1e-07,1.2e-07,1e-07,0,0.01468567,0.02937121,0,0.03303482,0,0,0.482758620689655,0.0411392405063291
0.25,0.25,0.15,0.74,0,1.1,0.366379310344828,0.4,0,1.53e-06,1.55e-06,0,0.19086744,0.49472512,0,0.22067401,0,0,1.3e-07,1.3e-07,1.2e-07,0,0.01775203,0.03550394,0,0.04047401,0,0,0.47806524184477,0.040235829540753
0.25,0.25,0.175,0.73,0,1.1,0.358890701468189,0.4,0,1.62e-06,1.66e-06,0,0.18556528,0.48515524,0,0.21847047,0,0,1.6e-07,1.6e-07,1.5e-07,0,0.02085253,0.0417049,0,0.04824783,0,0,0.472914875322442,0.0393207985634308
0.25,0.25,0.2,0.72,0,1.1,0.350877192982456,0.4,0,1.55e-06,1.61e-06,0,0.18010328,0.47532786,0,0.21623572,0,0,1.9e-07,1.8e-07,1.7e-07,0,0.02398181,0.04796345,0,0.05638418,0,0,0.467289719626168,0.0383951682484902
0.25,0.25,0.225,0.71,0,1.1,0.342352291551629,0.4,0,1.44e-06,1.5e-06,0,0.17448547,0.46523671,0,0.21396077,0,0,2e-07,1.9e-07,1.8e-07,0,0.02713365,0.0542671,0,0.06491279,0,0,0.461172270157691,0.0374600902785423
0.25,0.25,0.25,0.7,0,1.1,0.333333333333333,0.4,0,1.54e-06,1.63e-06,0,0.16871682,0.45487588,0,0.21163588,0,0,2.5e-07,2.4e-07,2.3e-07,0,0.03030081,0.06060138,0,0.07386535,0,0,0.454545454545455,0.0365168539325842
0.25,0.25,0.275,0.69,0,1.1,0.323841429369068,0.4,0,1.57e-06,1.67e-06,0,0.16280369,0.44424087,0,0.20925086,0,0,3e-07,2.7e-07,2.6e-07,0,0.03347502,0.06694978,0,0.08327571,0,0,0.447392780006171,0.0355668921242693
0.25,0.25,0.3,0.68,0,1.1,0.31390134529148,0.4,0,1.6e-06,1.72e-06,0,0.1567533,0.43332736,0,0.20679474,0,0,3.5e-07,3.1e-07,3.1e-07,0,0.03664685,0.0732934,0,0.09318006,0,0,0.439698492462312,0.0346117867165575
0.25,0.25,0.325,0.67,0,1.1,0.3035413153457,0.4,0,1.52e-06,1.66e-06,0,0.15057405,0.42213199,0,0.204256,0,0,3.8e-07,3.3e-07,3.3e-07,0,0.03980561,0.0796109,0,0.10361722,0,0,0.431447746883989,0.0336532729223799
0.25,0.25,0.35,0.66,0,1.1,0.292792792792793,0.4,0,1.61e-06,1.78e-06,0,0.14427518,0.4106516,0,0.20162233,0,0,4.5e-07,3.8e-07,3.9e-07,0,0.04293925,0.08587813,0,0.11462888,0,0,0.422626788036411,0.0326932425862908
0.25,0.25,0.375,0.65,0,1.1,0.28169014084507,0.4,0,1.47e-06,1.66e-06,0,0.13786736,0.39888463,0,0.19888106,0,0,4.7e-07,3.8e-07,4e-07,0,0.04603427,0.09206817,0,0.12626013,0,0,0.413223140495868,0.031733746130031
0.25,0.25,0.4,0.64,0,1.1,0.27027027027027,0.4,0,1.46e-06,1.67e-06,0,0.13136183,0.38682907,0,0.19601852,0,0,5.3e-07,4.2e-07,4.4e-07,0,0.04907557,0.09815072,0,0.13855977,0,0,0.403225806451613,0.0307769929364278
0.25,0.25,0.425,0.63,0,1.1,0.258572231590781,0.4,0,1.79e-06,2.07e-06,0,0.12477092,0.3744837,0,0.19302034,0,0,7.3e-07,5.6e-07,6e-07,0,0.0520463,0.10409203,0,0.15158096,0,0,0.392625469443496,0.0298253499422114
0.25,0.25,0.45,0.62,0,1.1,0.246636771300449,0.4,0,1.84e-06,2.17e-06,0,0.11810839,0.3618489,0,0.18987175,0,0,8.5e-07,6.3e-07,6.9e-07,0,0.05492774,0.10985485,0,0.16538218,0,0,0.381414701803052,0.0288813382122321
0.25,0.25,0.475,0.61,0,1.1,0.234505862646566,0.4,0,1.55e-06,1.87e-06,0,0.11138866,0.34892465,0,0.18655673,0,0,8.2e-07,5.8e-07,6.4e-07,0,0.0576991,0.11539762,0,0.18002778,0,0,0.369588173178458,0.0279476272763526
0.25,0.25,0.5,0.6,0,1.1,0.222222222222222,0.4,0,1.52e-06,1.86e-06,0,0.10462667,0.33571003,0,0.18305772,0,0,9e-07,6.1e-07,7e-07,0,0.06033723,0.12067386,0,0.19558891,0,0,0.357142857142857,0.0270270270270271
0.25,0.25,0.525,0.59,0,1.1,0.209828823854224,0.4,0,1.58e-06,1.98e-06,0,0.09783883,0.32220524,0,0.179356,0,0,1.07e-06,6.9e-07,8e-07,0,0.06281648,0.12563228,0,0.21214505,0,0,0.344078232524448,0.0261224770012359
0.25,0.25,0.55,0.58,0,1.1,0.197368421052632,0.4,0,1.52e-06,1.94e-06,0,0.09104263,0.30841051,0,0.17543106,0,0,1.17e-06,7.1e-07,8.5e-07,0,0.06510831,0.13021591,0,0.22978539,0,0,0.330396475770925,0.0252370329057446
0.25,0.25,0.575,0.57,0,1.1,0.184883088635128,0.4,0,1.6e-06,2.1e-06,0,0.0842564,0.29432487,0,0.1712597,0,0,1.41e-06,8.1e-07,1e-06,0,0.06718091,0.13436102,0,0.24861019,0,0,0.316102640386761,0.0243738502900807
0.25,0.25,0.6,0.56,0,1.1,0.172413793103448,0.4,0,1.62e-06,2.18e-06,0,0.07750006,0.27994775,0,0.16681597,0,0,1.63e-06,8.8e-07,1.12e-06,0,0.06899886,0.13799684,0,0.26873309,0,0,0.301204819277108,0.0235361653272101
0.25,0.25,0.625,0.55,0,1.1,0.16,0.4,0,1.62e-06,2.23e-06,0,0.07079494,0.26527759,0,0.16206985,0,0,1.87e-06,9.5e-07,1.24e-06,0,0.07052254,0.14104413,0,0.29028304,0,0,0.285714285714286,0.0227272727272727
0.25,0.25,0.65,0.54,0,1.1,0.147679324894515,0.4,0,1.5e-06,2.13e-06,0,0.06416424,0.2503126,0,0.15698649,0,0,2e-06,9.4e-07,1.27e-06,0,0.07170761,0.14341428,0,0.31340694,0,0,0.269645608628659,0.0219505008839128
0.25,0.25,0.675,0.53,0,1.1,0.13548723293382,0.4,0,1.51e-06,2.21e-06,0,0.05763317,0.23504988,0,0.15152452,0,0,2.34e-06,1.02e-06,1.42e-06,0,0.07250427,0.14500752,0,0.33827214,0,0,0.253016738030362,0.0212091844341733
0.25,0.25,0.7,0.52,0,1.1,0.123456790123457,0.4,0,1.59e-06,2.4e-06,0,0.05122984,0.21948712,0,0.14563475,0,0,2.89e-06,1.15e-06,1.66e-06,0,0.07285666,0.14571217,0,0.36506979,0,0,0.235849056603774,0.020506634499397
0.25,0.25,0.725,0.51,0,1.1,0.111618467782851,0.4,0,1.45e-06,2.26e-06,0,0.04498564,0.20362288,0,0.13925829,0,0,3.12e-06,1.13e-06,1.68e-06,0,0.07270209,0.14540306,0,0.39401839,0,0,0.218167393891313,0.0198461069632791
0.25,0.25,0.75,0.5,0,1.1,0.1,0.4,0,1.37e-06,2.2e-06,0,0.0389356,0.18745623,0,0.13232309,0,0,3.49e-06,1.14e-06,1.76e-06,0,0.0719702,0.14393927,0,0.42536564,0,0,0.2,0.0192307692307692
0.25,0.25,0.775,0.49,0,1.1,0.0886262924667651,0.4,0,1.19e-06,2e-06,0,0.03311951,0.17099002,0,0.12474184,0,0,3.68e-06,1.06e-06,1.71e-06,0,0.07058248,0.1411639,0,0.45939261,0,0,0.181378476420796,0.0186636659941021
0.25,0.25,0.8,0.48,0,1.1,0.0775193798449612,0.4,0,1.02e-06,1.78e-06,0,0.02758232,0.15423195,0,0.11640753,0,0,3.87e-06,9.7e-07,1.65e-06,0,0.06845187,0.13690276,0,0.49641429,0,0,0.162337662337661,0.0181476846057573
0.25,0.25,0.825,0.47,0,1.1,0.0666984278227727,0.4,0,8.6e-07,1.57e-06,0,0.02237488,0.13719835,0,0.10718945,0,0,4.06e-06,8.7e-07,1.55e-06,0,0.06548307,0.13096527,0,0.53678006,0,0,0.142915475704368,0.0176855207184497
0.25,0.25,0.85,0.46,0,1.1,0.0561797752808988,0.4,0,7.1e-07,1.35e-06,0,0.01755426,0.11991864,0,0.09692827,0,0,4.27e-06,7.8e-07,1.44e-06,0,0.06157381,0.12314684,0,0.58086964,0,0,0.123152709359607,0.017279644895371
0.25,0.25,0.875,0.45,0,1.1,0.0459770114942529,0.4,0,5.9e-07,1.17e-06,0,0.01318339,0.10244103,0,0.08543101,0,0,4.67e-06,7e-07,1.34e-06,0,0.05661761,0.11323452,0,0.62908396,0,0,0.103092783505154,0.0169322709163347
0.25,0.25,0.9,0.44,0,1.1,0.036101083032491,0.4,0,4.9e-07,1e-06,0,0.00932995,0.08484038,0,0.07246679,0,0,5.22e-06,6.1e-07,1.23e-06,0,0.05050905,0.10101749,0,0.68182779,0,0,0.0827814569536435,0.0166453265044814
