k,r,sf,sm,EqInvEig,EqInvEigNM,DiffEQInvEig
1,0,0.491293902563567,0.7701113264353501,1,0,1
1,0,0.992229591200557,0.531337753178684,1,0,1
1,0,0.3904804153767907,0.46100242814255354,1,0,1
1,0,0.7569693966272584,0.7752192178124337,1,0,1
1,0,0.4816406978037222,0.6253260392150983,1,0,1
1,0,0.5941634520501033,0.9988129136063262,1,0,1
1,0,0.8503824734166896,0.7719172993800929,1,0,1
1,0,0.4155386627447031,0.6483120499500667,1,0,1
1,0,0.4622119111400409,0.5053851310597688,1,0,1
1,0,0.5890275918989214,0.45412682094717494,1,0,1
1,0,0.7194852589480334,0.6146074654028009,1,0,1
1,0,0.3541700430221355,0.3085113236967816,1,0,1
1,0,0.5915209304655853,0.41938925101049906,1,0,1
1,0,0.6277357397525356,0.6660909225562897,1,0,1
1,0,0.9937951610127951,0.9672433728486429,1,0,1
1,0,0.1587388401510963,0.18256261892048764,1,0,1
1,0,0.750828067491156,0.7250302801752504,1,0,1
1,0,0.6154973272366147,0.9203934556400561,1,0,1
1,0,0.8815663267944511,0.8525519492144875,1,0,1
1,0,0.5786014659497121,0.4664627988961738,1,0,1
1,0,0.9659016768449091,0.5336634822302919,1,0,1
1,0,0.5996119770580983,0.6157832317643981,1,0,1
1,0,0.7104183894961951,0.4819352753775836,1,0,1
1,0,0.6242480869418805,0.9012601403513358,1,0,1
1,0,0.9772557202664391,0.7346956434431529,1,0,1
1,0,0.3960427229470882,0.3422555538432053,1,0,1
1,0,0.3606521293785796,0.47947220893160547,1,0,1
1,0,0.8564292647433596,0.922797813926268,1,0,1
1,0,0.7462613910084386,0.8435471009427031,1,0,1
1,0,0.5997201341188698,0.7573764976891957,1,0,1
1,0,0.41044386397900223,0.6902371843846862,1,0,1
1,0,0.5512092841020111,0.8073064892978672,1,0,1
1,0,0.8960392948212279,0.8118007693891043,1,0,1
1,0,0.9332834506750549,0.8722060947220582,1,0,1
1,0,0.7363907625693304,0.6112434355707994,1,0,1
1,0,0.5342178358212493,0.7085271872683314,1,0,1
1,0,0.4270312689976481,0.5475231456520109,1,0,1
1,0,0.4114425332138105,0.3517794102907945,1,0,1
1,0,0.6984200002522758,0.922429411542991,1,0,1
1,0,0.536661723617565,0.43975868035854315,1,0,1
1,0,0.9254748742293524,0.6022064773912355,1,0,1
1,0,0.8860306608058992,0.7776354146836371,1,0,1
1,0,0.5549757741434111,0.6970203144445883,1,0,1
1,0,0.6208522116826913,0.47976031712371126,1,0,1
1,0,0.6578842833393024,0.9757789860961719,1,0,1
1,0,0.8140013681113574,0.6988668230120241,1,0,1
1,0,0.45609346580949905,0.7544648725481684,1,0,1
1,0,0.4879379514348898,0.758600319989706,1,0,1
1,0,0.5628907923282183,0.8730283866007027,1,0,1
1,0,0.4357403913516711,0.684260895655358,1,0,1
1,0,0.9356999364423662,0.9725312407481908,1,0,1
1,0,0.49136728031248067,0.6232193143190843,1,0,1
1,0,0.3629071463907101,0.4135195429582492,1,0,1
1,0,0.807228743412379,0.6180694024954678,1,0,1
1,0,0.2854205949309927,0.23260425191230505,1,0,1
1,0,0.8863454745427093,0.6609335079944687,1,0,1
1,0,0.3368057719738431,0.3474152956500516,1,0,1
1,0,0.8340497860754719,0.6041346321378049,1,0,1
1,0,0.4061693361585694,0.5469235027428787,1,0,1
1,0,0.42019956722162033,0.39648464425626995,1,0,1
1,0,0.5241528451862825,0.917518256742851,1,0,1
1,0,0.8908181062980953,0.7435097850666006,1,0,1
1,0,0.5206923204829121,0.3476155347412646,1,0,1
1,0,0.24784319309666536,0.2913946141484045,1,0,1
1,0,0.4711259168020452,0.8497236630819653,1,0,1
1,0,0.6597158965034875,0.469571446171833,1,0,1
1,0,0.6337726488601774,0.9695066239491084,1,0,1
1,0,0.8382500931968473,0.940273125456772,1,0,1
1,0,0.4789133586246088,0.8589107822478805,1,0,1
1,0,0.3659228240413417,0.5055010505053061,1,0,1
1,0,0.513827638192045,0.876836313350031,1,0,1
1,0,0.4624155127170675,0.5593449678954703,1,0,1
1,0,0.9255187025771929,0.7273768662317561,1,0,1
1,0,0.7775395516512922,0.4740570007041176,1,0,1
1,0,0.4078559687787642,0.29913306664366135,1,0,1
1,0,0.7603199130505816,0.5398369750698144,1,0,1
1,0,0.7134073240003918,0.41962423436864826,1,0,1
1,0,0.8524635123527429,0.5064830164927598,1,0,1
1,0,0.35263589776509097,0.3777675784023913,1,0,1
1,0,0.5485889165727034,0.7928555121433081,1,0,1
1,0,0.43527857795680913,0.4877924865811112,1,0,1
1,0,0.9919272235555332,0.9419702372988306,1,0,1
1,0,0.2292011454199283,0.2260205821693635,1,0,1
1,0,0.4459139250462465,0.6327778447371983,1,0,1
1,0,0.510678645425622,0.7428540322124793,1,0,1
1,0,0.6387196475057677,0.6177658994751547,1,0,1
1,0,0.8992098633980454,0.49397641976476714,1,0,1
1,0,0.4606543256247746,0.8203127822993819,1,0,1
1,0,0.5981261663482229,0.733539974246322,1,0,1
1,0,0.44450412870639644,0.6868854291290816,1,0,1
1,0,0.4957781129240524,0.4881405110601793,1,0,1
1,0,0.3587800603572462,0.3585647167020247,1,0,1
1,0,0.8181642498767949,0.7691221661632734,1,0,1
1,0,0.1941361451749506,0.16304958570697337,1,0,1
1,0,0.29595718956986805,0.356534333772919,1,0,1
1,0,0.8941508475108817,0.9887842290921887,1,0,1
1,0,0.7842094077120803,0.98866494365022,1,0,1
1,0,0.8538192665845292,0.9787472042275895,1,0,1
1,0,0.40876732745771527,0.31898385185571687,1,0,1
1,0,0.999496251915799,0.6972957720114368,1,0,1
1,0,0.861641890551279,0.54812227293432,1,0,1
1,0,0.911586961193305,0.7830956043261057,1,0,1
1,0,0.9988371590617049,0.6075580421026099,1,0,1
1,0,0.6625591223238245,0.759270290353746,1,0,1
1,0,0.7639809906897128,0.8288781300517438,1,0,1
1,0,0.7762652414495994,0.7809162623506924,1,0,1
1,0,0.6402872573822467,0.859068698182426,1,0,1
1,0,0.770447321043761,0.8589519709582736,1,0,1
1,0,0.7870221987272492,0.9654081553934626,1,0,1
1,0,0.723861420969117,0.7528255069271801,1,0,1
1,0,0.3549307260160297,0.5305636615844911,1,0,1
1,0,0.6527232144767185,0.6710668041354739,1,0,1
1,0,0.6971700908711673,0.9107158378556208,1,0,1
1,0,0.585922613446991,0.5882105078287625,1,0,1
1,0,0.7559333744673384,0.7756023056373287,1,0,1
1,0,0.38097982619500304,0.3142761729449086,1,0,1
1,0,0.8081705942252455,0.47512637399908075,1,0,1
1,0,0.8928713118203557,0.8596557980300439,1,0,1
1,0,0.24355045187733282,0.29544373210452846,1,0,1
1,0,0.7908315210482373,0.9114218436694961,1,0,1
1,0,0.9671149145529587,0.7754141927925133,1,0,1
1,0,0.7281652117500961,0.8595305758044718,1,0,1
1,0,0.9144026300362997,0.9237362719251843,1,0,1
1,0,0.8505982958144156,0.8928384662714115,1,0,1
1,0,0.7371590304880593,0.5795189815347144,1,0,1
1,0,0.39392463085631557,0.5878101841302943,1,0,1
1,0,0.6601254171531064,0.4138234167920847,1,0,1
1,0,0.3937421995306356,0.5440948586293017,1,0,1
1,0,0.6420158903569819,0.46735293628641084,1,0,1
1,0,0.4069443960013823,0.40947280713396794,1,0,1
1,0,0.48197499027787805,0.8052145986112551,1,0,1
1,0,0.3773559802480704,0.42539701324893464,1,0,1
1,0,0.6695186934583415,0.4090388108463172,1,0,1
1,0,0.7631572567892813,0.8649799257682425,1,0,1
1,0,0.3160282377604253,0.27156224668510753,1,0,1
1,0,0.2882045676088205,0.24259403626475917,1,0,1
1,0,0.977389411685827,0.8242902257165812,1,0,1
1,0,0.7465795518608671,0.6670106939832612,1,0,1
1,0,0.5479019250131649,0.6273089018242606,1,0,1
1,0,0.7143585527228491,0.8111262096070286,1,0,1
1,0,0.46501219940024296,0.5859667401020598,1,0,1
1,0,0.7578750754038304,0.5307807828055302,1,0,1
1,0,0.6067528814210141,0.9372633720107055,1,0,1
1,0,0.5714563096312344,0.8605552230088427,1,0,1
1,0,0.1766526432013409,0.15778827177057742,1,0,1
1,0,0.649274308702751,0.8238858012712258,1,0,1
1,0,0.6825275526137042,0.9383048091317696,1,0,1
1,0,0.6322172277966802,0.9876388845928799,1,0,1
1,0,0.4438540193725429,0.4189420632022862,1,0,1
1,0,0.5413830676415341,0.46986159754969536,1,0,1
1,0,0.977851203481733,0.6748364754604776,1,0,1
1,0,0.9709882418753748,0.5874757211860222,1,0,1
1,0,0.7778000474966258,0.5678517645665588,1,0,1
1,0,0.9160820258435669,0.8285451764597562,1,0,1
1,0,0.47843557685697125,0.7791741905552716,1,0,1
1,0,0.5590016245146463,0.4034093928932896,1,0,1
1,0,0.7817484730151254,0.5599292859012606,1,0,1
1,0,0.4533534526665952,0.7812412043295915,1,0,1
1,0,0.6647438236580985,0.6123931943808265,1,0,1
1,0,0.5800406647624821,0.7267146776217153,1,0,1
1,0,0.33511305933353275,0.31839018380430906,1,0,1
1,0,0.46333115914715917,0.5605030414561305,1,0,1
1,0,0.6833024969960728,0.9861175805741758,1,0,1
1,0,0.4879310663008132,0.9230352585081141,1,0,1
1,0,0.6831545214211814,0.7711249682304036,1,0,1
1,0,0.6237990326483924,0.4983048417915936,1,0,1
1,0,0.6929722236164304,0.8852801008048621,1,0,1
1,0,0.9211448913916547,0.6423923587585454,1,0,1
1,0,0.6577698155614606,0.5213568808351179,1,0,1
1,0,0.6424650895056969,0.4895894517518673,1,0,1
1,0,0.3675998827710756,0.5651314959682718,1,0,1
1,0,0.6938265692859675,0.465423497878902,1,0,1
1,0,0.5396739512523481,0.354892384616492,1,0,1
1,0,0.8718901708387194,0.72538566608882,1,0,1
1,0,0.9757179599371566,0.8583001008887119,1,0,1
1,0,0.565806818811142,0.6634816933534742,1,0,1
1,0,0.6108796724121954,0.7957728597819103,1,0,1
1,0,0.7689652313370476,0.6730430187297078,1,0,1
1,0,0.4835070679714488,0.7069176544676661,1,0,1
1,0,0.5197946247224077,0.5142003765084986,1,0,1
1,0,0.6220050442653464,0.9439996254644498,1,0,1
1,0,0.8711253229118352,0.6516696688335346,1,0,1
1,0,0.24528616850646334,0.20307972380288497,1,0,1
1,0,0.8460739996132753,0.6751524045053929,1,0,1
1,0,0.551487737465143,0.8462081045395473,1,0,1
1,0,0.41933190921067975,0.5826016234048372,1,0,1
1,0,0.4954735351499675,0.8823051054913171,1,0,1
1,0,0.47347996786409574,0.6726301933088035,1,0,1
1,0,0.5329220897669324,0.9781892117357125,1,0,1
1,0,0.7472359658281251,0.4454624551928634,1,0,1
1,0,0.5245466652159501,0.7505269165192145,1,0,1
1,0,0.9078607681400321,0.8760891959488326,1,0,1
1,0,0.49347974407427175,0.8768026853594559,1,0,1
1,0,0.7743502828409843,0.9493377668481275,1,0,1
1,0,0.6402384707149453,0.8217616912313541,1,0,1
1,0,0.634303829046051,0.42970374788265286,1,0,1
1,0,0.37230597401457,0.4937993030667347,1,0,1
1,0,0.9128655422407075,0.969457967248821,1,0,1
1,0,0.7809234634585984,0.6912983087291757,1,0,1
1,0,0.5601922968526576,0.8871594768303566,1,0,1
1,0,0.8965058515572952,0.8647725450108923,1,0,1
1,0,0.8624526052724617,0.8211477088926569,1,0,1
1,0,0.7182186601320455,0.7565926444004314,1,0,1
1,0,0.626877744398826,0.39278389767933364,1,0,1
1,0,0.2306813146722717,0.28884968551055357,1,0,1
1,0,0.47264821502179366,0.5991917631121422,1,0,1
1,0,0.2758203713175049,0.23558636167778468,1,0,1
1,0,0.3371514401839748,0.2839819795236296,1,0,1
1,0,0.621994212078361,0.567865399322917,1,0,1
1,0,0.5140277451321167,0.718899920872619,1,0,1
1,0,0.9950129751243937,0.9906548509436177,1,0,1
1,0,0.8384943905258668,0.5287414586108388,1,0,1
1,0,0.45420296490413237,0.5548464492515945,1,0,1
1,0,0.5077806246940528,0.5829839408871673,1,0,1
1,0,0.7398803935768721,0.8065787404035465,1,0,1
1,0,0.46444272754519944,0.751342009437326,1,0,1
1,0,0.5511591240551323,0.5722806112668146,1,0,1
1,0,0.9415648633833278,0.8364113337895138,1,0,1
1,0,0.3684127175233547,0.47957937416540664,1,0,1
1,0,0.4732465404567632,0.4688971909493145,1,0,1
1,0,0.458587956045432,0.7594951481893879,1,0,1
1,0,0.5139833189792811,0.5190038568489617,1,0,1
1,0,0.4002964123180548,0.4394903587488972,1,0,1
1,0,0.9197372637991867,0.9434047475476932,1,0,1
1,0,0.5859886880632745,0.9390391605698736,1,0,1
1,0,0.48370643190287055,0.4193318981733303,1,0,1
1,0,0.7963359286497951,0.9793001717068444,1,0,1
1,0,0.9483478516182513,0.9842251773721773,1,0,1
1,0,0.798938374374959,0.9924997321988354,1,0,1
1,0,0.9389416615815271,0.5169155646575139,1,0,1
1,0,0.23351465656911197,0.2321711127564654,1,0,1
1,0,0.31772407925908985,0.34130564110007033,1,0,1
1,0,0.6957533888651506,0.6543614288498147,1,0,1
1,0,0.7540944992558978,0.46399348225365245,1,0,1
1,0,0.8758245690751789,0.5201736998404707,1,0,1
1,0,0.957649603889764,0.9223661488434789,1,0,1
1,0,0.4860358330894894,0.8057353310657227,1,0,1
1,0,0.978563778147556,0.6381585185768843,1,0,1
1,0,0.6296502605603531,0.7898124738291878,1,0,1
1,0,0.4597145572763617,0.791708204730442,1,0,1
1,0,0.8679319186122649,0.5574621330229608,1,0,1
1,0,0.4583189266956371,0.7521870471517675,1,0,1
1,0,0.5347215756053718,0.8622606998431059,1,0,1
1,0,0.18309396407188405,0.18419877395130713,1,0,1
1,0,0.5143169138884902,0.5239190073195239,1,0,1
1,0,0.95706555558986,0.8134431954308952,1,0,1
1,0,0.7666921785999585,0.7038673758491729,1,0,1
1,0,0.8210210417006278,0.736542452922619,1,0,1
1,0,0.892866224758714,0.6533883173794535,1,0,1
1,0,0.34589136450340674,0.28424858610214665,1,0,1
1,0,0.5983706427671527,0.8061867578573882,1,0,1
1,0,0.8545644792047555,0.952047695379572,1,0,1
1,0,0.49814071160174267,0.5856078735241941,1,0,1
1,0,0.5093808934695654,0.9677290340225777,1,0,1
1,0,0.8468530622854291,0.5901924972650263,1,0,1
