C,delta,k,r,sf,sm,EqInvEig,EqInvEigNM,DiffEQInvEig
0.75,0.8,-0.202,0.,0.5053248192393118,0.8278973490377641,1,0,1
0.75,0.8,-0.202,0.,0.4364123443660215,0.5307648783341945,1,0,1
0.75,0.8,-0.202,0.,0.95723210832134,0.6978280245870447,0,0,0
0.75,0.8,-0.202,0.,0.8474894348078927,0.6978917386243806,0,0,0
0.75,0.8,-0.202,0.,0.2729097313861115,0.6665746120751417,1,0,1
0.75,0.8,-0.202,0.,0.32249889823241706,0.7014997274539849,1,0,1
0.75,0.8,-0.202,0.,0.6545101414277885,0.7834471131567684,0,0,0
0.75,0.8,-0.202,0.,0.5680161418625411,0.7101084354724945,1,0,1
0.75,0.8,-0.202,0.,0.21933098025810027,0.6079987295334872,1,0,1
0.75,0.8,-0.202,0.,0.21686488558104622,0.344719031692881,1,0,1
0.75,0.8,-0.202,0.,0.8282127316137031,0.8400009380441762,0,0,0
0.75,0.8,-0.202,0.,0.28319355328018414,0.6325829871489936,1,0,1
0.75,0.8,-0.202,0.,0.7230310639234057,0.8241252272474446,0,0,0
0.75,0.8,-0.202,0.,0.3271841278863903,0.9858072032026826,1,0,1
0.75,0.8,-0.202,0.,0.6784550877355038,0.8238256379048388,0,0,0
0.75,0.8,-0.202,0.,0.5761981069996898,0.6323721804724451,0,0,0
0.75,0.8,-0.202,0.,0.19117627495887435,0.3293866720945009,1,0,1
0.75,0.8,-0.202,0.,0.7209933745794392,0.9370805440679151,0,0,0
0.75,0.8,-0.202,0.,0.348411900187505,0.7207463273285315,1,0,1
0.75,0.8,-0.202,0.,0.5232304013842097,0.7051964647591091,1,0,1
0.75,0.8,-0.202,0.,0.4709127762994436,0.7905404230770094,1,0,1
0.75,0.8,-0.202,0.,0.507235769605284,0.8819006789985595,1,0,1
0.75,0.8,-0.202,0.,0.6894290611892187,0.7417302436895381,0,0,0
0.75,0.8,-0.202,0.,0.4109265253771588,0.8414063932775622,1,0,1
0.75,0.8,-0.202,0.,0.47830369771939574,0.997157978587319,1,0,1
0.75,0.8,-0.202,0.,0.5585111931576907,0.8840123929994943,1,0,1
0.75,0.8,-0.202,0.,0.9556751876634626,0.8836826541657854,0,0,0
0.75,0.8,-0.202,0.,0.29137412900779824,0.8304264250312419,1,0,1
0.75,0.8,-0.202,0.,0.20422498900103014,0.46655337399819774,1,0,1
