k,r,sf,sm,EqInvEig,EqInvEigNM,DiffEQInvEig
1.1,0,0.0828212731613703,0.08400009380441761,2,0,2
1.1,0,0.0505597164724183,0.051773279662316846,2,0,2
1.1,0,0.09556751876634625,0.08836826541657855,2,0,2
1.1,0,0.049131384048551496,0.049691647882791845,2,0,2
1.1,0,0.09128958048516936,0.09585579807172545,2,0,2
1.1,0,0.05999138235675408,0.05939916998371492,2,0,2
1.1,0,0.09998648975467392,0.09135755441622817,1,0,1
1.1,0,0.053002439485355574,0.05104238761746524,2,0,2
1.1,0,0.05565620603807528,0.057414372092228744,2,0,2
1.1,0,0.02364661744427185,0.02316188328574742,2,0,2
1.1,0,0.09034459826104085,0.08954257252851458,2,0,2
1.1,0,0.09832853875268402,0.09077409812135481,2,0,2
1.1,0,0.09282261392119254,0.09073201735666073,2,0,2
1.1,0,0.03718549778303132,0.038223564658211695,2,0,2
1.1,0,0.03284611710318061,0.032738917534837986,2,0,2
1.1,0,0.06543395841535343,0.06465649774881735,2,0,2
1.1,0,0.07087103405083492,0.07566744226258335,2,0,2
1.1,0,0.04107005827738702,0.04045795894241666,2,0,2
1.1,0,0.09332087089878086,0.08673476281475484,2,0,2
1.1,0,0.04694900799528334,0.04787498804400106,2,0,2
1.1,0,0.08758276476105692,0.08940218298989688,2,0,2
1.1,0,0.05937275267752329,0.05785740136739234,2,0,2
1.1,0,0.07001070599981113,0.07232958546193685,2,0,2
1.1,0,0.056701418385661645,0.057473761166822734,2,0,2
1.1,0,0.07739773510059825,0.0778466849342313,2,0,2
1.1,0,0.05154998389231111,0.049620188923668374,2,0,2
1.1,0,0.07672684686481221,0.07161983386921297,2,0,2
1.1,0,0.0541837057609201,0.054369580815506,2,0,2
1.1,0,0.08382765794513056,0.08632215077168578,2,0,2
1.1,0,0.05820202616895115,0.0582018280517525,2,0,2
1.1,0,0.0571192831614363,0.06016508841435278,2,0,2
1.1,0,0.05432670673082021,0.055914607770158636,2,0,2
1.1,0,0.0883168103324101,0.0928669995400237,2,0,2
1.1,0,0.07297233594760219,0.07739572340376202,2,0,2
1.1,0,0.04365196517447145,0.042091776563278255,2,0,2
1.1,0,0.05974731605365399,0.0576954485758861,2,0,2
1.1,0,0.04572398247614182,0.04739401358588108,2,0,2
1.1,0,0.04532213582213965,0.04489488515646198,2,0,2
1.1,0,0.09783694749676572,0.09182323409565737,2,0,2
1.1,0,0.06111035557477765,0.06072830133716145,2,0,2
1.1,0,0.025631980626944828,0.0261652445369685,2,0,2
1.1,0,0.08984213357577228,0.08845469491489966,2,0,2
1.1,0,0.09154511139550892,0.09277107253232256,2,0,2
1.1,0,0.09686459163246125,0.09594663844836296,2,0,2
1.1,0,0.04439984818030818,0.043762619846388434,2,0,2
1.1,0,0.0476220112409739,0.04736169417383357,2,0,2
1.1,0,0.0726951155705226,0.06982098438671513,2,0,2
1.1,0,0.09711665921851009,0.08886615649545535,1,0,1
1.1,0,0.05642655522823309,0.05471049964912242,2,0,2
1.1,0,0.0825495959327174,0.07796846353271342,2,0,2
1.1,0,0.08378294568182512,0.08696623044070509,2,0,2
1.1,0,0.05833059358223133,0.05603223845142033,2,0,2
1.1,0,0.08262474896489855,0.08793530860829965,2,0,2
1.1,0,0.07708528935887757,0.07594717876098842,2,0,2
1.1,0,0.06155644337521493,0.06369982732597246,2,0,2
1.1,0,0.05031309216219568,0.0492580324678174,2,0,2
1.1,0,0.08721423092717409,0.09217994696003581,2,0,2
1.1,0,0.08332458548455135,0.08426734314671283,2,0,2
1.1,0,0.04588201920920418,0.0467053360785869,2,0,2
1.1,0,0.04415585890472945,0.04488645960728474,2,0,2
1.1,0,0.07314126503790369,0.07869171842068512,2,0,2
1.1,0,0.03972709552755385,0.040845841773610586,2,0,2
1.1,0,0.09176465934989406,0.08675430866563125,2,0,2
1.1,0,0.0757244302299219,0.07868746077980154,2,0,2
1.1,0,0.09762568818894232,0.08979951424786078,2,0,2
1.1,0,0.091862483908358,0.08787440792648885,2,0,2
1.1,0,0.09420314224182338,0.08995254302378147,2,0,2
1.1,0,0.08548234738527083,0.0828009613016216,2,0,2
1.1,0,0.033647152092635746,0.033347218175934584,2,0,2
1.1,0,0.07267488071144179,0.07191293757561726,2,0,2
1.1,0,0.08672273731659796,0.08317729828146192,2,0,2
