C,delta,k,r,sm,sf,EqInvEig,EqInvEigNM,DiffEQInvEig
0.75,0.2,6.38,0,0.0973388,0.479245889,2,0,2
0.75,0.2,6.38,0,0.062374468,0.353088329,2,0,2
0.75,0.2,6.38,0,0.074254084,0.296013715,3,1,2
0.75,0.2,6.38,0,0.090790797,0.48940821,2,0,2
0.75,0.2,6.38,0,0.126403879,0.448436617,3,1,2
0.75,0.2,6.38,0,0.099882741,0.409579967,3,1,2
0.75,0.2,6.38,0,0.082246397,0.314418333,3,1,2
0.75,0.2,6.38,0,0.032743562,0.302483674,3,1,2
0.75,0.2,6.38,0,0.008212177,0.065789029,3,1,2
0.75,0.2,6.38,0,0.030804152,0.276385271,3,1,2
0.75,0.2,6.38,0,0.069359917,0.474451876,2,0,2
0.75,0.2,6.38,0,0.058978693,0.229053595,3,1,2
0.75,0.2,6.38,0,0.033909239,0.21685377,2,0,2
0.75,0.2,6.38,0,0.045476674,0.334368657,2,0,2
0.75,0.2,6.38,0,0.076724753,0.287704596,3,1,2
0.75,0.2,6.38,0,0.032996661,0.152416442,2,0,2
0.75,0.2,6.38,0,0.014099374,0.118614314,3,1,2
0.75,0.2,6.38,0,0.083936872,0.399533794,2,0,2
0.75,0.2,6.38,0,0.029344346,0.111501802,3,1,2
0.75,0.2,6.38,0,0.055246764,0.241708148,3,1,2
0.75,0.2,6.38,0,0.048835141,0.229800548,2,0,2
0.75,0.2,6.38,0,0.063100667,0.30445986,2,0,2
0.75,0.2,6.38,0,0.030370296,0.27699883,3,1,2
0.75,0.2,6.38,0,0.043048478,0.354992183,3,1,2
0.75,0.2,6.38,0,0.086328579,0.446701558,2,0,2
0.75,0.2,6.38,0,0.047824092,0.249132642,2,0,2
0.75,0.2,6.38,0,0.062605596,0.391904673,2,0,2
0.75,0.2,6.38,0,0.060166196,0.234021725,3,1,2
0.75,0.2,6.38,0,0.070254626,0.267539643,3,1,2
0.75,0.2,6.38,0,0.03836937,0.207620018,2,0,2
0.75,0.2,6.38,0,0.078580506,0.385640758,2,0,2
0.75,0.2,6.38,0,0.039056554,0.169284465,3,1,2
0.75,0.2,6.38,0,0.01467403,0.125720818,3,1,2
